data,tipo,valor
2026-01-02,CREDITO,352.27
2026-01-04,CREDITO,546.71
2026-01-01,CREDITO,569.27
2026-01-02,CREDITO,132.2
2026-01-03,CREDITO,726.92
2026-01-03,DEBITO,419.53
2026-01-03,DEBITO,785.31
2026-01-02,DEBITO,397.22
2026-01-02,DEBITO,869.68
2026-01-04,DEBITO,137.31
2026-01-04,CREDITO,425.77
2026-01-02,DEBITO,482.24
2026-01-01,DEBITO,159.1
2026-01-02,CREDITO,238.15
2026-01-02,DEBITO,701.24
2026-01-03,CREDITO,510.69
2026-01-03,DEBITO,227.11
2026-01-01,DEBITO,94.01
2026-01-04,CREDITO,150.67
2026-01-01,DEBITO,491.93
